candidate_id,wals_feature_id,wals_value_number,wals_value_label,gb_formula,gb_features_used,relation_type,confidence_tier,scope_caveat,evidence_type,semantic_rationale,include_in_gold,include_in_eval,n_observed,precision,recall,f1,mcc,jaccard,f1_ci_lo,f1_ci_hi,perm_p
37A-1::GB020=1,37A,1,Definite word distinct from demonstrative,GB020=1,GB020,NEAR_EXACT,A,none,doc_link,"GB020 asks for presence of definite/specific article; WALS 37A value includes only dedicated definite articles distinct from demonstratives. Near-exact: GB020=1 also covers 'demonstrative used as article' (a separate WALS 37A value), so GB020=1 is slightly broader.",True,True,392,0.6096,0.7755,0.6826,0.4629,0.5182,0.5897,0.7482,0.0
37A-2::GB020=1,37A,2,Demonstrative word used as definite article,GB020=1,GB020,NEAR_EXACT,A,none,doc_link,Both mark a definite/specific article strategy. GB020=1 covers this case explicitly; WALS has it as a separate value.,True,True,392,0.0802,0.375,0.1322,-0.0689,0.0708,0.064,0.193,0.934
37A-5::GB020=0,37A,5,No definite or indefinite article,GB020=0,GB020,NEAR_EXACT,A,none,doc_link,Both WALS 37A 'No article' and GB020=0 assert absence of any definite/specific article. Near-exact; minor scope differences in what counts as an article.,True,True,392,0.5561,0.8976,0.6867,0.5193,0.5229,0.6202,0.743,0.0
38A-1::GB021=1,38A,1,Indefinite word distinct from 'one',GB021=1,GB021,NEAR_EXACT,A,none,doc_link,GB021 asks whether indefinite/non-specific nominals commonly have indefinite articles. WALS 38A value is the same scope. GB021 explicitly cites WALS 38.,True,True,330,0.4,0.3871,0.3934,0.256,0.2449,0.161,0.5041,0.0
38A-5::GB021=0,38A,5,No definite or indefinite article,GB021=0,GB021,NEAR_EXACT,A,none,doc_link,Both assert no indefinite article.,True,True,330,0.4889,0.9706,0.6502,0.3308,0.4818,0.5732,0.734,0.0
38A-4::GB021=0,38A,4,"No indefinite, but definite article",GB021=0,GB021,NEAR_EXACT,A,none,doc_link,Presence of only definite article entails absence of indefinite article (GB021=0).,True,True,330,0.1852,0.8929,0.3067,0.0875,0.1812,0.2167,0.3788,0.092
89A-1::GB024=1,89A,1,Numeral-Noun,GB024=1,GB024,NEAR_EXACT,A,extra_wals_value,doc_link,GB024=1 codes numeral before noun; WALS 89A 'Numeral precedes noun' is the same condition. Near-exact rather than exact because WALS 89A includes a 'numeral only modifies verb' value with no GB024 equivalent. GB024 cites WALS chapter 89.,True,True,734,0.9333,0.8642,0.8974,0.8236,0.814,0.8541,0.9307,0.0
89A-2::GB024=2,89A,2,Noun-Numeral,GB024=2,GB024,NEAR_EXACT,A,extra_wals_value,doc_link,GB024=2 codes numeral after noun; WALS 89A 'Noun precedes numeral' is the same condition. Same caveat as above.,True,True,734,0.9526,0.9218,0.937,0.8752,0.8814,0.9101,0.9575,0.0
89A-3::GB024=3,89A,3,No dominant order,GB024=3,GB024,NEAR_EXACT,B,dominance_mismatch,doc_link,GB024=3 codes 'both orders possible'; WALS 89A 'No dominant order' is closely related but defined via frequency/dominance rather than mere possibility. Directional match.,False,True,734,0.28,0.5526,0.3717,0.3475,0.2283,0.2816,0.4868,0.0
88A-1::GB025=1,88A,1,Demonstrative-Noun,GB025=1,GB025,NEAR_EXACT,A,word_affix_scope,doc_link,Both GB025=1 and WALS 88A code demonstrative-before-noun for adnominal demonstratives. Near-exact for free demonstratives; WALS 88A also includes separate affixal values with no GB025 equivalent. GB025 cites WALS chapter 88.,True,True,785,0.905,0.8543,0.879,0.7843,0.7841,0.8397,0.9127,0.0
88A-2::GB025=2,88A,2,Noun-Demonstrative,GB025=2,GB025,NEAR_EXACT,A,word_affix_scope,doc_link,Same as above for the post-nominal value.,True,True,785,0.8911,0.8785,0.8848,0.7914,0.7934,0.8344,0.9159,0.0
88A-3::GB025=1,88A,3,Demonstrative prefix,GB025=1,GB025,PARTIAL,C,word_affix_scope,definition_match,Demonstrative prefix is structurally prenominal but GB025 is designed for free-word demonstratives. Partial overlap.,False,False,785,0.0148,0.8333,0.0292,0.0716,0.0148,0.0067,0.0602,0.046
88A-4::GB025=2,88A,4,Demonstrative suffix,GB025=2,GB025,PARTIAL,C,word_affix_scope,definition_match,Demonstrative suffix is structurally postnominal; same caveat.,False,False,785,0.043,0.9375,0.0822,0.1431,0.0429,0.0262,0.1813,0.0
86A-1::GB065=1,86A,1,Genitive-Noun,GB065=1,GB065,NEAR_EXACT,A,dominance_mismatch,doc_link,GB065=1 codes possessor-before-possessed; WALS 86A 'Genitive precedes noun' is the same condition. Both focus on the pragmatically unmarked order. Minor caveat: WALS uses 'dominant' and GB uses 'pragmatically unmarked'.,True,True,813,0.9095,0.8172,0.8609,0.7171,0.7557,0.789,0.9157,0.0
86A-2::GB065=2,86A,2,Noun-Genitive,GB065=2,GB065,NEAR_EXACT,A,dominance_mismatch,doc_link,Same as above for post-nominal possessor.,True,True,813,0.8992,0.7508,0.8183,0.7346,0.6925,0.7418,0.8917,0.0
86A-3::GB065=3,86A,3,No dominant order,GB065=3,GB065,NEAR_EXACT,B,dominance_mismatch,doc_link,GB065=3 is 'both orders possible'; close but dominance vs possibility framing differs.,False,True,813,0.2635,0.6027,0.3667,0.3089,0.2245,0.2884,0.4862,0.0
87A-1::GB193=1,87A,1,Adjective-Noun,GB193=1,GB193,NEAR_EXACT,A,dominance_mismatch,doc_link,GB193=1 codes adnominal property word before noun; WALS 87A codes adjective before noun. Near-exact; WALS terminology is 'adjective' while GB uses 'adnominal property word'.,True,True,794,0.8762,0.7931,0.8326,0.7701,0.7132,0.7594,0.8848,0.0
87A-2::GB193=2,87A,2,Noun-Adjective,GB193=2,GB193,NEAR_EXACT,A,dominance_mismatch,doc_link,"Same as above, post-nominal adjective/property word.",True,True,794,0.9369,0.8387,0.8851,0.7263,0.7939,0.8334,0.9185,0.0
87A-3::GB193=3,87A,3,No dominant order,GB193=3,GB193,NEAR_EXACT,B,dominance_mismatch,doc_link,GB193=3 codes both orders; same caveat as other 'no dominant' mappings.,False,True,794,0.3033,0.5781,0.3978,0.3485,0.2483,0.3354,0.4833,0.0
85A-2::GB074=1,85A,2,Prepositions,GB074=1,GB074,DIRECTIONAL,A,presence_vs_dominance,doc_link,"WALS 85A 'Prepositions' means prepositions are the dominant adposition type. GB074=1 means prepositions are present. WALS dominance implies GB presence, but not vice versa: a language may have prepositions (GB074=1) while its dominant adposition type is postpositions (WALS 85A=Postpositions). Directional: WALS 85A=Prep ⇒ GB074=1.",True,True,767,0.8026,0.9537,0.8717,0.7727,0.7725,0.7634,0.9194,0.0
85A-1::GB075=1,85A,1,Postpositions,GB075=1,GB075,DIRECTIONAL,A,presence_vs_dominance,doc_link,Same directional logic as for prepositions. WALS 85A=Postp ⇒ GB075=1.,True,True,743,0.8029,0.9151,0.8553,0.7031,0.7472,0.8017,0.9008,0.0
85A-5::GB074=0 & GB075=0,85A,5,No adpositions,GB074=0 & GB075=0,"GB074,GB075",NEAR_EXACT,A,none,definition_match,WALS 85A 'No adpositions' means neither prepositions nor postpositions exist. GB074=0 & GB075=0 expresses the same condition directly. Near-exact.,True,True,725,0.1837,0.6,0.2812,0.3083,0.1636,0.1277,0.42,0.0
85A-4::GB074=1 & GB075=1,85A,4,No dominant order,GB074=1 & GB075=1,"GB074,GB075",PARTIAL,B,dominance_mismatch,definition_match,"If a language has both prepositions and postpositions with no dominant type, GB074=1 & GB075=1 is the closest formula. However, GB codes presence not co-dominance.",False,True,725,0.2222,0.6286,0.3284,0.3227,0.1964,0.2115,0.4255,0.0
82A-1::GB130=1,82A,1,SV,GB130=1,GB130,NEAR_EXACT,A,dominance_mismatch,doc_link,WALS 82A 'SV' codes subject-before-verb as dominant order in intransitive clauses. GB130=1 codes the same. Near-exact; minor dominance vs. pragmatic-unmarkedness framing difference.,True,True,939,0.9307,0.9357,0.9332,0.6714,0.8747,0.9042,0.9578,0.0
82A-2::GB130=2,82A,2,VS,GB130=2,GB130,NEAR_EXACT,A,dominance_mismatch,doc_link,WALS 82A 'VS' and GB130=2 both code verb-before-subject intransitive order.,True,True,939,0.8182,0.792,0.8049,0.7756,0.6735,0.6938,0.8571,0.0
83A-1::GB133=1,83A,1,OV,GB133=1,GB133,DIRECTIONAL,A,multi_value_collapse,projection_formula,"WALS 83A 'OV' includes both SOV and OSV orders. GB133=1 codes verb-final transitive order. WALS OV ⇒ GB133=1, but GB133=1 also collapses OSV. Directional projection.",True,True,964,0.8803,0.9332,0.9059,0.8206,0.8281,0.8599,0.9393,0.0
83A-2::GB131=1 & GB132=1,83A,2,VO,GB131=1 & GB132=1,"GB131,GB132",PARTIAL,B,multi_value_collapse,projection_formula,WALS 83A 'VO' includes SVO (GB132=1) and VSO/VOS (GB131=1). The formula is a disjunction not a conjunction; neither GB131=1 alone nor GB132=1 alone captures all VO languages. Partial: no single GB formula cleanly captures WALS VO.,False,True,958,0.5208,0.0552,0.0998,0.0221,0.0525,0.0581,0.1531,0.338
81A-1::GB131=0 & GB132=0 & GB133=1,81A,1,SOV,GB131=0 & GB132=0 & GB133=1,"GB131,GB132,GB133",PROJECTION,B,multi_value_collapse|dominance_mismatch,projection_formula,"WALS 81A SOV projects to verb-final (GB133=1). The compound formula further constrains verb-initial and verb-medial to 0, approximating SOV. OSV also projects to this formula — multi_value_collapse.",False,True,865,0.9393,0.9259,0.9326,0.8871,0.8737,0.8952,0.9601,0.0
81A-2::GB131=0 & GB132=1 & GB133=0,81A,2,SVO,GB131=0 & GB132=1 & GB133=0,"GB131,GB132,GB133",PROJECTION,B,multi_value_collapse|dominance_mismatch,projection_formula,WALS 81A SVO projects to verb-medial (GB132=1). OVS also maps here — multi_value_collapse.,False,True,865,0.8677,0.8812,0.8744,0.7998,0.7769,0.7689,0.9117,0.0
81A-3::GB131=1 & GB132=0 & GB133=0,81A,3,VSO,GB131=1 & GB132=0 & GB133=0,"GB131,GB132,GB133",PROJECTION,B,multi_value_collapse|dominance_mismatch,projection_formula,WALS 81A VSO projects to verb-initial. VOS also maps here.,False,True,865,0.5278,0.9344,0.6746,0.6746,0.5089,0.5154,0.795,0.0
81A-4::GB131=1 & GB132=0 & GB133=0,81A,4,VOS,GB131=1 & GB132=0 & GB133=0,"GB131,GB132,GB133",PROJECTION,B,multi_value_collapse|dominance_mismatch,projection_formula,VOS projects to verb-initial formula alongside VSO.,False,True,865,0.1111,0.7059,0.192,0.2489,0.1062,0.0813,0.2907,0.0
81A-6::GB131=0 & GB132=0 & GB133=1,81A,6,OSV,GB131=0 & GB132=0 & GB133=1,"GB131,GB132,GB133",PROJECTION,C,multi_value_collapse|dominance_mismatch,projection_formula,OSV is rare; projects to verb-final formula alongside SOV.,False,False,865,0.0,0.0,0.0,-0.0393,0.0,0.0,0.0,1.0
81A-5::GB131=0 & GB132=1 & GB133=0,81A,5,OVS,GB131=0 & GB132=1 & GB133=0,"GB131,GB132,GB133",PROJECTION,C,multi_value_collapse|dominance_mismatch,projection_formula,OVS projects to verb-medial alongside SVO.,False,False,865,0.0154,0.5556,0.0299,0.0381,0.0152,0.0052,0.0881,0.2
90A-1::GB327=1,90A,1,Noun-Relative clause,GB327=1,GB327,NEAR_EXACT,A,none,doc_link,WALS 90A 'Noun precedes RC' and GB327=1 ('can RC follow noun?') both assert postposed relative clauses. Near-exact.,True,True,472,0.8486,0.9731,0.9066,0.6428,0.8291,0.8216,0.9498,0.0
90A-2::GB328=1,90A,2,Relative clause-Noun,GB328=1,GB328,NEAR_EXACT,A,none,doc_link,WALS 90A 'RC precedes noun' and GB328=1 both assert preposed relative clauses.,True,True,453,0.5629,0.9659,0.7113,0.6589,0.5519,0.4846,0.8151,0.0
90A-3::GB329=1,90A,3,Internally headed,GB329=1,GB329,NEAR_EXACT,A,none,doc_link,Both directly code internally headed relative clauses.,True,True,410,0.1613,1.0,0.2778,0.3746,0.1613,0.1311,0.437,0.0
90A-4::GB330=1,90A,4,Correlative,GB330=1,GB330,NEAR_EXACT,A,none,doc_link,Both directly code correlative relative clauses.,True,True,401,0.0455,1.0,0.087,0.1956,0.0455,0.0,0.1776,0.002
