feature,domain,feat_idx,rho_without,importance
63A,Verbal,123,0.037688189264631855,0.0035738800164737197
91A,WordOrder,159,0.0377797098796504,0.003482359401455172
88A,WordOrder,152,0.03811833615521897,0.0031437331258866025
89A,WordOrder,153,0.03869949206058666,0.002562577220518912
119A,SimpleClause,22,0.038836772983114456,0.0024252962979911183
33A,Nominal,89,0.03897405390564225,0.0022880153754633245
44A,Nominal,102,0.039239463689196,0.0020226055919095737
12A,Phonology,33,0.039330984304214535,0.0019310849768910399
118A,SimpleClause,21,0.03934928842721825,0.0019127808538873248
14A,Phonology,66,0.03935844048872009,0.001903628792385488
87A,WordOrder,151,0.03936301651947101,0.0018990527616345662
31A,Nominal,87,0.0393767446117238,0.001885324669381773
20A,Morphology,73,0.039404200796229354,0.0018578684848762211
26A,Morphology,81,0.03940877682698028,0.0018532924541252924
66A,Verbal,126,0.0394133528577312,0.0018487164233743775
122A,ComplexSentence,25,0.03946826522674233,0.001793804054363246
121A,SimpleClause,24,0.039500297441998816,0.0017617718391067586
110A,SimpleClause,13,0.039525123350602306,0.0017369459305032683
13A,Phonology,45,0.03959639408776827,0.001665675193337303
143C,Other,49,0.039623850272273844,0.0016382190088317303
136A,ComplexSentence,40,0.03962842630302476,0.0016336429780808154
7A,Phonology,142,0.03982061959456368,0.0014414496865418971
30A,Nominal,86,0.03982061959456368,0.0014414496865418971
125A,ComplexSentence,28,0.03987095593282387,0.0013911133482817015
60A,Verbal,120,0.03988926005582758,0.0013728092252779933
90D,Other,158,0.03993044433258592,0.0013316249485196552
46A,Nominal,104,0.03995790051709148,0.0013041687640140964
28A,Morphology,83,0.03999908479384982,0.0012629844872557514
65A,Verbal,125,0.04005857319361186,0.001203496087493712
70A,Verbal,131,0.04006314922436279,0.0011989200567427832
129A,ComplexSentence,32,0.040072301285864656,0.0011897679952409188
27A,Morphology,82,0.04008145334736651,0.0011806159337390681
10A,Phonology,12,0.04008602937811743,0.0011760399029881463
32A,Nominal,88,0.040095181439619286,0.0011668878414862888
128A,ComplexSentence,31,0.04011806159337392,0.0011440076877316518
6A,Phonology,130,0.04018670205463781,0.001075367226467762
123A,ComplexSentence,26,0.04024619045439986,0.0010158788267057156
99A,SimpleClause,167,0.04025076648515078,0.0010113027959547938
76A,Verbal,137,0.04027364663890542,0.0009884226422001569
51A,Nominal,110,0.04027364663890542,0.0009884226422001569
25B,Other,80,0.04027822266965635,0.000983846611449228
109A,SimpleClause,10,0.04030383613164466,0.0009582331494609117
92A,WordOrder,160,0.04032855900791653,0.0009335102731890463
79B,Other,141,0.040328559007916535,0.0009335102731890393
69A,Verbal,129,0.040337711069418386,0.0009243582116871887
39B,Other,96,0.04039262343842952,0.0008694458426760573
62A,Verbal,122,0.04039262343842952,0.0008694458426760573
71A,Verbal,132,0.04040177549993137,0.0008602937811742067
117A,SimpleClause,20,0.04040635153068228,0.0008557177504232918
55A,Nominal,114,0.04041092756143322,0.0008511417196723561
23A,Morphology,77,0.04044753580744062,0.0008145334736649537
107A,SimpleClause,7,0.04047041596119527,0.0007916533199103029
90B,Other,156,0.040479568022697116,0.0007825012584084592
50A,Nominal,109,0.04048414405344804,0.0007779252276575374
102A,SimpleClause,2,0.040507024207202674,0.0007550450739029005
137A,ComplexSentence,42,0.04051617626870454,0.000745893012401036
64A,Verbal,124,0.04052990436095732,0.0007321649201482566
115A,SimpleClause,18,0.04054820848396102,0.0007138607971445554
19A,Phonology,71,0.040607696883723066,0.0006543723973825091
15A,Phonology,67,0.04060769688372307,0.0006543723973825022
106A,SimpleClause,6,0.04061684894522492,0.0006452203358806516
98A,SimpleClause,166,0.040626001006726774,0.000636068274378801
17A,Phonology,69,0.0406305770374777,0.0006314922436278722
25A,Morphology,79,0.04064430512973048,0.0006177641513750928
144T,Other,64,0.040699217498741606,0.0005628517823639684
43A,Nominal,101,0.040740401775499945,0.0005216675056056302
144K,Other,58,0.04075412986775271,0.0005079394133528647
21B,Other,75,0.04075412986775272,0.0005079394133528578
16A,Phonology,68,0.04075870589850365,0.0005033633826019221
142A,Lexicon,46,0.040836498421269386,0.0004255708598361885
134A,ComplexSentence,39,0.040854802544273094,0.0004072667368324803
79A,Verbal,140,0.04088225872877867,0.0003798105523269077
111A,SimpleClause,14,0.04088225872877867,0.0003798105523269077
52A,Nominal,111,0.040886834759529596,0.0003752345215759789
59A,Verbal,118,0.040946323159291635,0.0003157461218139396
81B,Other,145,0.04095547522079349,0.00030659406031208203
132A,ComplexSentence,37,0.040960051251544415,0.0003020180295611602
41A,Nominal,99,0.040969203313046265,0.0002928659680593096
120A,SimpleClause,23,0.04096920331304627,0.00029286596805930265
131A,ComplexSentence,36,0.040978355374548116,0.000283713906557459
72A,Verbal,133,0.04098293140529906,0.00027913787580651633
105A,SimpleClause,5,0.04100581155905368,0.0002562577220518933
109B,Other,11,0.04100581155905368,0.0002562577220518933
113A,SimpleClause,16,0.04104699583581202,0.00021507344529355515
114A,SimpleClause,17,0.04105614789731387,0.00020592138379170455
136B,Other,41,0.041060723928064806,0.00020134535304076884
45A,Nominal,103,0.04109275614332128,0.0001693131377842952
37A,Nominal,93,0.041129364389328696,0.00013270489177687889
38A,Nominal,94,0.04114766851233241,0.0001144007687731638
104A,SimpleClause,4,0.041179700727588905,8.236855351666933e-05
127A,ComplexSentence,30,0.04118885278909074,7.32164920148326e-05
9A,Phonology,168,0.041193428819841685,6.864046126388995e-05
133A,ComplexSentence,38,0.04120258088134352,5.9488399762053223e-05
47A,Nominal,105,0.04122546103509815,3.660824600742324e-05
22A,Morphology,76,0.041225461035098165,3.660824600740936e-05
61A,Verbal,121,0.04124834118885279,1.3728092252786317e-05
54A,Nominal,113,0.0412483411888528,1.372809225277244e-05
56A,Nominal,115,0.041252917219603724,9.152061501850606e-06
144B,Other,53,0.04126664531185651,-4.576030750935711e-06
40A,Nominal,98,0.041284949434860205,-2.2880153754629984e-05
21A,Morphology,74,0.04132613371161856,-6.4064430512982e-05
36A,Nominal,92,0.04133070974236947,-6.864046126389689e-05
68A,Verbal,128,0.041349013865373166,-8.694458426759116e-05
93A,WordOrder,161,0.041362741957625945,-0.00010067267652037054
2A,Phonology,85,0.04136274195762595,-0.00010067267652037748
144D,Other,54,0.04136731798837689,-0.00010524870727131319
34A,Nominal,90,0.04137189401912781,-0.00010982473802223502
5A,Phonology,119,0.04139935020363336,-0.00013728092252778684
138A,ComplexSentence,44,0.041426806388138934,-0.00016473710703335948
143B,Other,48,0.04143138241888987,-0.0001693131377842952
39A,Nominal,95,0.041440534480391714,-0.00017846519928613885
57A,Nominal,116,0.041445110511142635,-0.0001830412300370607
75A,Verbal,136,0.041463414634146344,-0.00020134535304076884
101A,SimpleClause,1,0.041477142726399116,-0.00021507344529354128
4A,Phonology,108,0.04148629478790097,-0.00022422550679539188
137B,Other,43,0.04149544684940283,-0.00023337756829725637
35A,Nominal,91,0.04150002288015376,-0.00023795359904818514
18A,Phonology,70,0.04151832700315747,-0.0002562577220518933
130B,Other,35,0.04154120715691209,-0.00027913787580651633
1A,Phonology,72,0.041541207156912105,-0.0002791378758065302
8A,Phonology,154,0.041577815402919514,-0.0003157461218139396
24A,Morphology,78,0.04158239143367044,-0.00032032215256486835
3A,Phonology,97,0.04162357571042879,-0.0003615064293232134
29A,Morphology,84,0.041632727771930625,-0.00037065849082505015
49A,Nominal,107,0.04164187983343248,-0.0003798105523269077
130A,ComplexSentence,34,0.04175628060220565,-0.0004942113211000784
53A,Nominal,112,0.04177458472520936,-0.0005125154441037866
58A,Verbal,117,0.04179288884821306,-0.0005308195671074878
80A,Verbal,143,0.04185237724797511,-0.0005903079668695341
42A,Nominal,100,0.04187983343248067,-0.0006177641513750928
144R,Other,62,0.04188404563031056,-0.0006219763492049876
48A,Nominal,106,0.04188898549398254,-0.0006269162128769643
144Q,Other,61,0.04196220198599735,-0.000700132704891776
124A,ComplexSentence,27,0.04197593007825013,-0.0007138607971445554
108A,SimpleClause,8,0.042017114355008475,-0.0007550450739029005
108B,Other,9,0.04218185146204183,-0.000919782180936253
67A,Verbal,127,0.04223676383105295,-0.0009746945499473775
73A,Verbal,134,0.042332860476822415,-0.00107079119571684
97A,WordOrder,165,0.042355740630577045,-0.00109367134947147
144L,Other,59,0.0423648926920789,-0.0011028234109733276
144S,Other,63,0.04242438109184095,-0.0011623118107353739
144P,Other,60,0.042479293460852066,-0.0012172241797464914
126A,ComplexSentence,29,0.04268521484464377,-0.001423145563538196
103A,SimpleClause,3,0.0427447032444058,-0.0014826339633002283
77A,Verbal,138,0.042872832105431746,-0.0016107628243261715
116A,SimpleClause,19,0.04288656019768453,-0.0016244909165789578
100A,SimpleClause,0,0.04316112204274014,-0.0018990527616345662
82A,WordOrder,146,0.04319773028874754,-0.0019356610076419686
78A,Verbal,139,0.043202306319498465,-0.0019402370383928905
144I,Other,56,0.04321603441175126,-0.0019539651306456837
143F,Other,51,0.043449411980048515,-0.00218734269894294
90C,Other,157,0.043609573056330946,-0.002347503775225371
74A,Verbal,135,0.043774310163364305,-0.0025122408822587303
86A,WordOrder,150,0.043911591085892106,-0.002649521804786531
144H,Other,55,0.04405802406992176,-0.0027959547888161823
143A,Lexicon,47,0.04488628563583948,-0.0036242163547339085
84A,WordOrder,148,0.04506932686587653,-0.0038072575847709553
144V,Other,65,0.04546744154120716,-0.004205372260101585
144J,Other,57,0.0455589621562257,-0.004296892875120126
144A,Lexicon,52,0.04577861163227017,-0.004516542351164596
90A,WordOrder,155,0.0459204685855489,-0.004658399304443325
94A,WordOrder,162,0.04649247242941474,-0.005230403148309165
96A,WordOrder,164,0.046638905413444384,-0.0053768361323388095
143E,Other,50,0.04673957808996477,-0.005477508808859194
112A,SimpleClause,15,0.046849402827987004,-0.005587333546881429
85A,WordOrder,149,0.047274973687823185,-0.0060129044067176105
81A,WordOrder,144,0.047549535532878794,-0.006287466251773219
95A,WordOrder,163,0.04824966823777057,-0.006987598956664995
83A,WordOrder,147,0.0490779298036883,-0.007815860522582728
