row	KA_number	variant	formal_formula	domain	impl_grade	SPAPHY_SIG	supported	short_label
1	1, 2	a	GB074:1 > GB065:2	narrow word order	perfect	yes	SIG	Adp-N > N-Gen
2	1, 2	b	GB075:1 > GB065:1	narrow word order	perfect	no	NOT SIG	N-Adp > Gen-N
3	5	NA	GB131:0 & GB132:0 & GB133:1 & GB065:2 > GB193:2	narrow word order	OK	no	NOT SIG	SOV & N-Gen > N-Adj
4	8	NA	GB131:0 & GB132:0 & GB133:1 > GB070|GB071|GB072|GB073:1	broad word order	OK	no	NOT SIG	SOV|OSV > case
5	15	a	GB131:0 & (GB132:1 | GB133:1) >  GB137:1	narrow word order	OK	yes	SIG	OV > V-Mod
6	15	b	(GB131:1 | GB132:1) & GB133:0 > GB138:1	narrow word order	OK	no	NOT SIG	VO > Mod-V
7	45	NA	(GB093:1 | GB094:1) > GB091:1 | GB092: 1	hierarchy	OK	yes	SIG	Obj index > Sbj index
8	55	NA	GB131:1 & GB132:0 & GB133:0 > GB074:1	narrow word order	OK	no	NOT SIG	VSO > Adp-N
9	56	NA	GB131:1 & GB132:0 & GB133:0 > GB193:2	narrow word order	OK	yes	NOT SIG	VSO > N-Adj
10	57	a	GB193:1 > GB024:1	narrow word order	perfect	yes	SIG	Adj-N > Num-N
11	57	b	GB193:1 > GB025:1	narrow word order	perfect	yes	SIG	Adj-N > Dem-N
12	62	a	GB328:1 > GB193:1	narrow word order	perfect	no	NOT SIG	Rel-N > Adj-N
13	62	b	GB328:1 > GB075:1	narrow word order	perfect	yes	NOT SIG	Rel-N > N-Adp
14	65, see 66	a	GB131:0 & GB132:0 & GB133:1 & GB193:1 > GB065:1	narrow word order	OK	yes	NOT SIG	SOV & Adj-N > Gen-N
15	67, see 68	NA	GB131:1 & GB132:0 & GB133:0 & GB193:2 > GB065:2	narrow word order	OK	no	NOT SIG	VSO & N-Adj > N-Gen
16	69	NA	GB074:1 & GB193:2 > GB065:2	narrow word order	perfect	yes	SIG	Adp-N & N-Adj > N-Gen
17	70	NA	GB074:1 & GB132:0 & GB193:1 > GB065:2	narrow word order	perfect	no	NOT SIG	Adp-N & no SVO & N-Adj > N-Gen
18	71	NA	GB075:1 & GB193:1 > GB065:1	narrow word order	perfect	yes	NOT SIG	N-Adp & Adj-N > Gen-N
19	72	NA	GB074:1 & GB025:2 >  GB193:2	narrow word order	perfect	yes	SIG	Adp-N & N-Dem > N-Adj
20	73	NA	GB025:2 > GB193:2	narrow word order	perfect	yes	SIG	N-Dem > N-Adj
21	74	NA	GB074:1 & GB024:2 >  GB193:2	narrow word order	perfect	yes	SIG	Adp-N & N-Num > N-Adj
22	75	NA	GB024:2 > GB193:2	narrow word order	perfect	yes	SIG	N-Num > N-Adj
23	84	NA	(GB103:1 | GB104: 1 | GB093:1 | GB094:1) > (GB091:1 | GB092: 1)	hierarchy	perfect	yes	SIG	verb agr > agr S
24	87	NA	GB074:1 & GB025:2 >  GB327:1	narrow word order	perfect	yes	SIG	Adp-N & N-Dem > N-Rel
25	88	n	GB025:2 > GB327:1	narrow word order	perfect	no	NOT SIG	N-Dem > N-Rel
26	91	NA	GB074:1 & GB193:2 >  GB327:1	narrow word order	perfect	yes	NOT SIG	Adp-N & N-Adj > N-Rel
27	93	NA	GB196:1 > GB030:1	hierarchy	perfect	yes	SIG	gender 2SG > gender 3SG
28	95	a	GB075:1 & (GB193:1 |  GB328:1) > GB025:1	narrow word order	perfect	yes	SIG	N-Adp & (Adj-N|Rel-N) > Dem-N
29	95	b	GB075:1 & (GB193:1 |  GB328:1) > GB024:1	narrow word order	perfect	no	NOT SIG	N-Adp & (Adj-N|Rel-N) > Num-N
30	96	NA	GB075:1 & (GB193:1 |  GB328:1) > GB065:1	narrow word order	perfect	yes	SIG	N-Adp & (Adj-N|Rel-N) > Pron-N
31	101	NA	GB065:2 > GB193:2	narrow word order	perfect	yes	NOT SIG	N-Gen > N-Adj
32	107	a	(GB131:1 | GB132:1) & GB133:0 > GB327:1	narrow word order	OK	yes	SIG	VO > N-Rel
33	107	b	GB131:0 & (GB132:1 | GB133:1) > GB193:1	narrow word order	OK	no	NOT SIG	OV > Adj-N
34	107	c	(GB131:1 | GB132:1) & GB133:0 > GB065:2	narrow word order	OK	yes	SIG	VO > N-Gen
35	108	NA	GB131:0 & (GB132:1 | GB133:1)  > GB263:1	narrow word order	OK	no	NOT SIG	OV > Sent-Q
36	110	NA	GB327:1 > GB193:2	narrow word order	perfect	yes	NOT SIG	N-Rel > N-Adj
37	116	NA	sum(GB070:1,GB071:1,GB072:1,GB073:1) => 1 > sum(GB041:1,GB042:1,GB043:1,GB044:1,GB165:1,GB166:1,GB316:1,GB317:1,GB318:1,GB319:1,GB320:1) => 1	hierarchy	OK	no	NOT SIG	case > number
38	121	NA	GB074:1 & GB024:2 > GB327:1	narrow word order	perfect	no	NOT SIG	Adp-N & N-Num > N-Rel
39	125	NA	GB131:0 & GB132:0 & GB133:1 & GB065:1 & GB203:1 > GB075:1	narrow word order	OK	yes	SIG	SOV & Det-N > N-Adp
40	126	n	GB024:2 > GB327:1	narrow word order	perfect	no	NOT SIG	N-Num > N-Rel
41	144	NA	GB170:0 & GB184:0 > GB065:1	broad word order	perfect	no	NOT SIG	no Adj Agr > Gen-N
42	145	NA	(GB131:1 | GB132:1) & GB133:0 > GB068:1	broad word order	OK	no	NOT SIG	SVO/VSO > V-like Pred Adj
43	147	NA	GB069:1 > GB131:0 & GB132:1 & GB133:0	broad word order	OK	no	NOT SIG	V-like Attr Adj > SVO
44	166	NA	GB094:1 & GB093:0 > GB089:1 | GB090:1	hierarchy	perfect	yes	SIG	pref-V Obj > V agr Sbj
45	173	NA	GB074:1 & GB025:2 > GB065:2	narrow word order	perfect	yes	SIG	Adp-N & N-Dem > N-Gen
46	174	NA	GB074:1 & GB024:2 > GB065:2	narrow word order	perfect	no	NOT SIG	Adp-N & N-Num > N-Gen
47	175	NA	GB074:1 & GB065:2 > GB327:1	narrow word order	perfect	yes	SIG	Adp-N & N-Gen > N-Rel
48	176	NA	GB065:2 > GB327:1	narrow word order	perfect	yes	SIG	N-Gen > N-Rel
49	177	NA	GB075:1 & GB025:1 > GB065:1	narrow word order	perfect	yes	SIG	N-Adp & Dem-N > Gen-N
50	178	NA	GB075:1 & GB024:1 > GB065:1	narrow word order	perfect	yes	NOT SIG	N-Adp & Num-N > Gen-N
51	179	a	GB170:1 > GB184:1	hierarchy	OK	yes	SIG	gender Adj > number Adj
52	179	c	GB171:1 > GB185:1	hierarchy	OK	yes	SIG	gender Dem > number Dem
53	179	b	GB172:1 > GB186:1	hierarchy	OK	yes	SIG	gender Art > number Art
54	183	NA	GB070:1 > GB071:1 | GB073:1	hierarchy	perfect	yes	SIG	case Nouns > case PronN
55	228	NA	GB070:1|GB072:1 > GB111|GB079|GB090|GB092|GB094|GB080|GB089|GB091|GB093|GB119|GB120|GB121|GB298|GB082|GB083|GB084|GB312|GB086:1	other	OK	yes	NOT SIG	nom case > verbal infl
56	229	NA	GB041|GB042|GB043|GB044|GB165|GB166:1 > GB070|GB072:1	hierarchy	perfect	yes	NOT SIG	nom number > nom case
57	230	a	GB136:1 > GB070:0 & GB072:0	broad word order	perfect	no	NOT SIG	rigid order > no case
